N,Procs,time
128,8,0.042134
128,12,0.037834
128,16,0.031087
128,24,0.031036
256,8,0.489283
256,12,0.375186
256,16,0.294944
256,24,0.244042
512,8,6.978503
512,12,4.853992
512,16,3.728887
512,24,2.734886
1024,8,113.093131
1024,12,77.655086
1024,16,59.259140
1024,24,41.263092
2048,8,1748.164926
2048,12,1191.363089
2048,16,906.965523
2048,24,626.897324
