N,Procs,time
128,54,0.053973
128,60,0.047844
128,72,0.049535
256,54,0.258539
256,60,0.238803
256,72,0.251753
512,54,1.747751
512,60,1.695051
512,72,1.568718
1024,54,21.093959
1024,60,19.503196
1024,72,16.811278
2048,54,297.610298
2048,60,270.313264
2048,72,229.598621
